series,size_mb,gbps,iters,avg_seconds
h2d,0.125,3.908973921879733,200,3.353104999405332e-05
h2d,0.25,0.2882882454966355,200,0.0009093121349724242
h2d,0.5,0.7761585692175138,200,0.0006754908349830657
h2d,1.0,1.7219580548005895,200,0.0006089439850620693
h2d,2.0,0.9232084330908291,200,0.0022715910349506885
h2d,4.0,8.906527145408171,128,0.00047092474221699376
h2d,8.0,8.42265183225966,64,0.0009959580625036324
h2d,16.0,27.953433890843012,32,0.0006001844376442023
h2d,32.0,2.8131872552710435,16,0.011927550125619746
h2d,64.0,3.2099546918248727,8,0.020906483250655583
h2d,128.0,26.84585299988342,4,0.004999570250220131
h2d,256.0,27.17166518608406,2,0.009879242003080435
h2d,512.0,27.227611471412303,1,0.01971788500668481
h2d,1024.0,27.49445271183385,1,0.03905303499777801
d2d_same_device,0.125,8.412556165835984,200,1.558052004838828e-05
d2d_same_device,0.25,16.861691700748754,200,1.554672002384905e-05
d2d_same_device,0.5,40.194729964689,200,1.3043700018897652e-05
d2d_same_device,1.0,84.14447055468236,200,1.2461615042411723e-05
d2d_same_device,2.0,166.93461587522884,200,1.2562714982777833e-05
d2d_same_device,4.0,327.5070913798483,128,1.2806757808903058e-05
d2d_same_device,8.0,657.6012451964641,64,1.2756374871969456e-05
d2d_same_device,16.0,1281.7951073972251,32,1.3088843843434006e-05
d2d_same_device,32.0,1791.5702931545325,16,1.8729062503552996e-05
d2d_same_device,64.0,2168.238083027328,8,3.095087413385045e-05
d2d_same_device,128.0,599.2418001077607,4,0.00022397924840333872
d2d_same_device,256.0,603.235235107043,2,0.0004449929983820766
d2d_same_device,512.0,607.6382933618887,1,0.0008835369953885674
d2d_same_device,1024.0,620.540210461302,1,0.00173033399914857
hccl_default,0.125,1.2665022890873536,80,0.0001034913249895908
hccl_default,0.25,2.7952791085283386,80,9.378097493026872e-05
hccl_default,0.5,4.350695855885442,80,0.00012050669993186602
hccl_default,1.0,12.728659602957036,80,8.237913752964232e-05
hccl_default,2.0,26.018315442263425,80,8.060291238507489e-05
hccl_default,4.0,50.40076010906036,64,8.321906238961674e-05
hccl_default,8.0,46.244795949821096,32,0.0001813957187550841
hccl_default,16.0,75.91442491292551,16,0.0002210016873505083
hccl_default,32.0,81.76476942662066,8,0.00041037762639462017
hccl_default,64.0,71.25891190566377,4,0.0009417609981028363
hccl_default,128.0,71.64461293958792,2,0.0018733819961198606
hccl_default,256.0,70.07309603837204,1,0.0038307920040097088
hccl_default,512.0,73.9176801980008,1,0.007263092003995553
hccl_default,1024.0,76.98740130862494,1,0.013946981009212323
hccl_buff_32,0.125,0.7448394750864257,80,0.00017597348742128815
hccl_buff_32,0.25,1.6137816366083366,80,0.00016244081234617624
hccl_buff_32,0.5,3.377427824394931,80,0.0001552329249534523
hccl_buff_32,1.0,7.489740303519277,80,0.00014000164992467035
hccl_buff_32,2.0,16.189996727682658,80,0.0001295338124691625
hccl_buff_32,4.0,34.38679447219465,64,0.00012197426553939295
hccl_buff_32,8.0,66.06975202915356,32,0.00012696593739747186
hccl_buff_32,16.0,75.01639874928296,16,0.00022364731285051676
hccl_buff_32,32.0,78.00456057391902,8,0.0004301598746678792
hccl_buff_32,64.0,70.04767930990664,4,0.0009580455007380806
hccl_buff_32,128.0,68.18757442406086,2,0.001968360498722177
hccl_buff_32,256.0,65.59382690519153,1,0.004092389004654251
hccl_buff_32,512.0,71.35931001846795,1,0.007523487991420552
hccl_buff_32,1024.0,74.53282741679044,1,0.014406293994397856
hccl_buff_200,0.125,0.6673610704751184,80,0.00019640342507045716
hccl_buff_200,0.25,1.4198247471844416,80,0.00018463123742549215
hccl_buff_200,0.5,2.2908307426887,80,0.00022886370006744983
hccl_buff_200,1.0,7.294627590391987,80,0.0001437463375623338
hccl_buff_200,2.0,15.90401858963486,80,0.0001318630249443231
hccl_buff_200,4.0,32.747984224532935,64,0.00012807823441107757
hccl_buff_200,8.0,62.96134819182223,32,0.00013323424991540378
hccl_buff_200,16.0,74.87766533383717,16,0.00022406168682209682
hccl_buff_200,32.0,80.5621362677263,8,0.00041650375169410836
hccl_buff_200,64.0,70.31039527187096,4,0.0009544657477817964
hccl_buff_200,128.0,70.73019711322603,2,0.0018976014980580658
hccl_buff_200,256.0,68.40320644102142,1,0.003924311007722281
hccl_buff_200,512.0,73.85596648253694,1,0.00726916101120878
hccl_buff_200,1024.0,77.78323752175339,1,0.013804283007630147
hccl_buff_1024,0.125,0.648305704728254,80,0.0002021762249569292
hccl_buff_1024,0.25,1.3486024969954025,80,0.0001943819625012111
hccl_buff_1024,0.5,3.2734988818143296,80,0.00016016134995879838
hccl_buff_1024,1.0,7.240624385929679,80,0.00014481844991678371
hccl_buff_1024,2.0,15.543441363833237,80,0.00013492198741005268
hccl_buff_1024,4.0,34.18587502238584,64,0.00012269114063201414
hccl_buff_1024,8.0,63.66557496554636,32,0.00013176050015317742
hccl_buff_1024,16.0,74.59221597494411,16,0.00022491912568511907
hccl_buff_1024,32.0,81.17137955799681,8,0.0004133776237722486
hccl_buff_1024,64.0,67.51157032766194,4,0.0009940350028045941
hccl_buff_1024,128.0,70.43307604868448,2,0.0019056065066251904
hccl_buff_1024,256.0,70.60016558683779,1,0.0038021930085960776
hccl_buff_1024,512.0,75.75075648000127,1,0.007087334000971168
hccl_buff_1024,1024.0,78.51288511577748,1,0.013675994996447116
